POTEAU_ID_POT,POSITION_POP,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,DESCRIPTION_CAT,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X,Y,Longitude,Latitude,NOM_ARROND
43450,7,88130,2610,\P 12h30-13h30 MER. 1 MARS AU 1 DEC.,SU-NK,3,,STATIONNEMENT,0,8/9/1999,,Réel,1- Tige et base,287198.755,5042666.589,-73.725318,45.523695,Saint-Laurent
43942,7,1201422,2606,\P 10h30-11h30 MER. 1 MARS AU 1 DEC.,SU-NF,2,,STATIONNEMENT,1,12/7/2016,,En conception,1- Tige et base,286551.813,5042519.5,-73.733594,45.522355,Saint-Laurent
44272,7,89666,2612,\P 13h30-14h30 MER. 1 MARS AU 1 DEC.,SU-NM,3,,STATIONNEMENT,0,10/8/1999,,Réel,1- Tige et base,287766.256,5042817.354,-73.718058,45.525066,Saint-Laurent
174451,7,557782,2413,\P EN TOUT TEMPS,SD-TT,3,,STATIONNEMENT,2,7/24/2008,,Enlevé,1- Tige et base,290235.0,5040639.5,-73.68639,45.505525,Saint-Laurent
174452,7,557779,2,\A 07h-19h,AD-JA,0,,STATIONNEMENT,1,7/24/2008,,Enlevé,1- Tige et base,290217.313,5040655.0,-73.686617,45.505664,Saint-Laurent
181985,5,632106,12530,STAT.HANDICAPEES 7H - 20H,RD-JI,3,,STATIONNEMENT,2,6/9/2009,1.0,Réel,3- Fût,288282.906,5040650.0,-73.711371,45.505576,Saint-Laurent
192362,7,970735,2413,\P EN TOUT TEMPS,SD-TT,3,192362---0,STATIONNEMENT,1,8/1/2013,,En conception,1- Tige et base,292120.625,5042065.0,-73.662296,45.518389,Saint-Laurent
192363,7,765884,2413,\P EN TOUT TEMPS,SD-TT,2,192363---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,292064.61,5042090.18,-73.663014,45.518614,Saint-Laurent
192364,7,765885,2413,\P EN TOUT TEMPS,SD-TT,3,192364---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,292046.66,5042097.23,-73.663244,45.518677,Saint-Laurent
192365,7,765886,2413,\P EN TOUT TEMPS,SD-TT,2,192365---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,292008.19,5042110.07,-73.663737,45.518792,Saint-Laurent
192366,7,765887,2413,\P EN TOUT TEMPS,SD-TT,0,192366---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291990.23,5042119.04,-73.663967,45.518872,Saint-Laurent
192367,7,970731,2413,\P EN TOUT TEMPS,SD-TT,3,192367---0,STATIONNEMENT,1,8/1/2013,,En conception,1- Tige et base,291967.781,5042127.5,-73.664254,45.518948,Saint-Laurent
192368,7,765889,2413,\P EN TOUT TEMPS,SD-TT,2,192368---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291898.53,5042155.59,-73.665142,45.5192,Saint-Laurent
192369,7,765890,2413,\P EN TOUT TEMPS,SD-TT,3,192369---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291874.81,5042165.21,-73.665445,45.519286,Saint-Laurent
192371,7,846516,15580,\p 08h - 12h lundi  1er mars - 1er déc,SLR-ST-204,0,192371---0,STATIONNEMENT,1,1/5/2012,,Réel,4- Poteau en bois,291875.07,5042333.17,-73.665447,45.520797,Saint-Laurent
192372,7,846515,15580,\p 08h - 12h lundi  1er mars - 1er déc,SLR-ST-204,0,192372---0,STATIONNEMENT,1,1/5/2012,,Réel,4- Poteau en bois,291892.43,5042372.87,-73.665225,45.521155,Saint-Laurent
192373,7,755667,14910,ARRÊT - D'AUTOBUS,SLR-ST-177,2,192373---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291896.08,5042387.11,-73.665179,45.521283,Saint-Laurent
192375,7,846509,15580,\p 08h - 12h lundi  1er mars - 1er déc,SLR-ST-204,0,192375---0,STATIONNEMENT,1,1/5/2012,,Réel,1- Tige et base,292133.3,5042332.1,-73.662141,45.520792,Saint-Laurent
192376,7,846510,15580,\p 08h - 12h lundi  1er mars - 1er déc,SLR-ST-204,0,192376---0,STATIONNEMENT,1,1/5/2012,,Réel,1- Tige et base,292082.43,5042352.99,-73.662793,45.520979,Saint-Laurent
192377,7,770625,2185,\P 09h-17h MAR. JEU.,SB-JV,0,192377---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,292072.35,5042375.73,-73.662922,45.521184,Saint-Laurent
192378,7,770626,2185,\P 09h-17h MAR. JEU.,SB-JV,0,192378---0,STATIONNEMENT,0,3/22/2010,,Réel,4- Poteau en bois,292002.05,5042405.94,-73.663823,45.521454,Saint-Laurent
192380,7,846523,15586,\p 08h - 12h jeudi 1er mars - 1er déc,SLR-ST-210,0,,STATIONNEMENT,1,1/5/2012,,Réel,1- Tige et base,291826.26,5042253.59,-73.666069,45.52008,Saint-Laurent
192380,6,846524,2413,\P EN TOUT TEMPS,SD-TT,3,,STATIONNEMENT,1,1/5/2012,,Réel,1- Tige et base,291826.26,5042253.59,-73.666069,45.52008,Saint-Laurent
192381,7,765897,2413,\P EN TOUT TEMPS,SD-TT,2,192381---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291812.87,5042214.53,-73.66624,45.519728,Saint-Laurent
192383,7,970727,2413,\P EN TOUT TEMPS,SD-TT,0,192383---0,STATIONNEMENT,1,8/1/2013,,En conception,1- Tige et base,291800.063,5042166.5,-73.666402,45.519296,Saint-Laurent
192384,7,765899,2413,\P EN TOUT TEMPS,SD-TT,2,192384---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291885.51,5042132.47,-73.665308,45.518991,Saint-Laurent
192385,7,765900,2413,\P EN TOUT TEMPS,SD-TT,3,192385---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291902.74,5042126.21,-73.665087,45.518935,Saint-Laurent
192386,7,765901,2413,\P EN TOUT TEMPS,SD-TT,2,192386---0,STATIONNEMENT,0,3/22/2010,,Réel,1- Tige et base,291960.32,5042102.68,-73.664349,45.518725,Saint-Laurent
