POTEAU_ID_POT,POSITION_POP,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,DESCRIPTION_CAT,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X,Y,Longitude,Latitude,NOM_ARROND
3413,4,1785363,11,\A EN TOUT TEMPS,AD-TT,0,,STATIONNEMENT,7,3/8/2023,,Réel,10- Fût et feux,300714.8,5043747.0,-73.552305,45.533627,Ville-Marie
3416,4,1762438,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,STATIONNEMENT,10,12/5/2022,,Réel,4- Poteau en bois,300497.531,5043851.5,-73.555088,45.534566,Ville-Marie
3419,7,1793563,2365,\P 09h-22h30,SD-JP,3,,STATIONNEMENT,5,4/14/2023,,Réel,2- Tige et manchon,300534.969,5043848.0,-73.554608,45.534535,Ville-Marie
3419,6,1793564,14058,\P 12h30-13h30 LUN. 1 AVRIL AU 1 DEC.,SU-LK-A,0,,STATIONNEMENT,5,4/14/2023,,Réel,2- Tige et manchon,300534.969,5043848.0,-73.554608,45.534535,Ville-Marie
3421,7,1770102,2365,\P 09h-22h30,SD-JP,2,,STATIONNEMENT,5,1/10/2023,,Réel,1- Tige et base,300577.313,5043824.5,-73.554066,45.534324,Ville-Marie
3422,7,1296946,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,STATIONNEMENT,4,12/13/2017,,Réel,4- Poteau en bois,300560.219,5043817.0,-73.554285,45.534256,Ville-Marie
3423,4,1536914,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,STATIONNEMENT,14,8/21/2020,,Réel,4- Poteau en bois,300597.781,5043798.0,-73.553803,45.534085,Ville-Marie
3423,3,1536915,1622,\P RESERVE S3R          (EN TOUT TEMPS),R-QG,0,,STATIONNEMENT,14,8/21/2020,,Réel,4- Poteau en bois,300597.781,5043798.0,-73.553803,45.534085,Ville-Marie
3424,5,1770099,14058,\P 12h30-13h30 LUN. 1 AVRIL AU 1 DEC.,SU-LK-A,0,,STATIONNEMENT,10,1/10/2023,,Réel,1- Tige et base,300592.375,5043816.0,-73.553873,45.534247,Ville-Marie
3424,4,1770100,1430,P 02h 08h-18h LUN. AU VEN.,PV-JK,3,,STATIONNEMENT,10,1/10/2023,,Réel,1- Tige et base,300592.375,5043816.0,-73.553873,45.534247,Ville-Marie
3424,3,1770101,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,10,1/10/2023,,Réel,1- Tige et base,300592.375,5043816.0,-73.553873,45.534247,Ville-Marie
3425,7,1501526,14058,\P 12h30-13h30 LUN. 1 AVRIL AU 1 DEC.,SU-LK-A,0,,STATIONNEMENT,7,6/5/2020,,Réel,1- Tige et base,300608.406,5043807.0,-73.553668,45.534166,Ville-Marie
3425,6,1501527,1430,P 02h 08h-18h LUN. AU VEN.,PV-JK,0,,STATIONNEMENT,7,6/5/2020,,Réel,1- Tige et base,300608.406,5043807.0,-73.553668,45.534166,Ville-Marie
3425,5,1501528,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,7,6/5/2020,,Réel,1- Tige et base,300608.406,5043807.0,-73.553668,45.534166,Ville-Marie
3428,7,1536917,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,STATIONNEMENT,7,8/21/2020,,Réel,4- Poteau en bois,300650.094,5043769.0,-73.553133,45.533825,Ville-Marie
3428,5,1536919,1622,\P RESERVE S3R          (EN TOUT TEMPS),R-QG,3,,STATIONNEMENT,7,8/21/2020,,Réel,4- Poteau en bois,300650.094,5043769.0,-73.553133,45.533825,Ville-Marie
3429,7,1501529,14058,\P 12h30-13h30 LUN. 1 AVRIL AU 1 DEC.,SU-LK-A,0,,STATIONNEMENT,6,6/5/2020,,Réel,1- Tige et base,300633.906,5043793.0,-73.553341,45.534041,Ville-Marie
3429,6,1501530,1618,\P RESERVE S3R 09h-21h LUN A SAM,R-QD,3,,STATIONNEMENT,6,6/5/2020,,Réel,1- Tige et base,300633.906,5043793.0,-73.553341,45.534041,Ville-Marie
3429,5,1501531,1430,P 02h 08h-18h LUN. AU VEN.,PV-JK,2,,STATIONNEMENT,6,6/5/2020,,Réel,1- Tige et base,300633.906,5043793.0,-73.553341,45.534041,Ville-Marie
3429,4,1501532,9488,PANONCEAU - EXCEPTE VEHICULES MUNIS D'UN PERMIS,PX-PR,0,,STAT-PANNONC.,6,6/5/2020,,Réel,1- Tige et base,300633.906,5043793.0,-73.553341,45.534041,Ville-Marie
3432,5,1770133,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,STATIONNEMENT,10,1/10/2023,,Réel,4- Poteau en bois,300693.031,5043744.5,-73.552584,45.533605,Ville-Marie
3432,4,1770134,1430,P 02h 08h-18h LUN. AU VEN.,PV-JK,2,,STATIONNEMENT,10,1/10/2023,,Réel,4- Poteau en bois,300693.031,5043744.5,-73.552584,45.533605,Ville-Marie
3433,6,872885,13831,\P 12h30-13h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JK-A,0,,STATIONNEMENT,4,4/19/2012,,Réel,3- Fût,300497.656,5043921.0,-73.555087,45.535192,Ville-Marie
3435,5,1294729,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,STATIONNEMENT,8,12/7/2017,,Réel,3- Fût,300523.563,5043923.0,-73.554755,45.53521,Ville-Marie
3439,7,1353718,14077,\P 12h30-13h30 MAR. 1 AVRIL AU 1 DEC.,SU-MK-A,0,,STATIONNEMENT,5,10/3/2018,,Réel,3- Fût,300558.281,5043903.5,-73.55431,45.535034,Ville-Marie
3442,7,1769941,2365,\P 09h-22h30,SD-JP,3,,STATIONNEMENT,4,1/9/2023,,Réel,1- Tige et base,300577.719,5043880.5,-73.554061,45.534828,Ville-Marie
